CANTÓN,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ALFREDO BAQUERIZO MORENO (JUJAN),,,,,,228.88,,11.20,35.91,86.88,131.96,93.08
BALAO,,,,,0.52,0.50,80.48,289.98,426.78,577.30,815.21,969.77
BALZAR,1817.75,1649.56,1608.46,1661.63,1622.11,1123.58,2065.96,3142.71,3033.40,3230.75,2824.64,3385.11
COLIMES,,20.87,28.00,76.91,84.20,115.69,64.81,65.13,72.11,22.25,1.45,5.97
CORONEL MARCELINO MARIDUEÑA,,659.77,500.49,630.10,745.01,489.53,317.02,26.44,13.84,202.43,358.44,375.55
DAULE,17123.70,11343.95,7974.10,7234.66,6596.70,6672.82,6414.57,6858.51,8751.37,12036.15,14471.21,18097.43
DURAN,25908.60,22683.81,17601.72,15330.12,15269.05,15523.46,15189.00,17728.70,19387.54,22516.94,24878.32,26692.15
EL EMPALME,834.73,4481.70,3083.94,2928.71,2647.42,2360.96,2030.26,1864.17,2054.63,2723.83,2651.75,2596.79
EL TRIUNFO,35147.35,19514.45,13278.66,10625.46,10800.80,10505.17,10926.51,11666.18,12065.74,12893.56,14673.77,14996.29
GENERAL ANTONIO ELIZALDE (BUCAY),,3.68,64.36,89.55,656.76,1018.12,1194.89,883.33,671.33,747.57,1470.91,2578.19
GUAYAQUIL,394791.63,749500.29,700084.34,674161.37,717531.40,661600.27,648632.90,633911.77,561350.34,604701.39,668955.94,739971.18
LOMAS DE SARGENTILLO,,,,,,,70.10,160.21,31.45,68.35,119.46,161.85
MILAGRO,52365.92,53799.64,40754.52,35562.28,33157.88,28699.78,28283.89,28102.87,27715.94,31010.58,30908.64,32843.74
NARANJAL,38610.74,17326.14,10329.59,8756.29,6983.24,9103.19,9227.80,9732.57,11013.02,12849.13,14007.05,13524.78
NARANJITO,17500.58,8322.65,6445.75,6390.39,6593.07,6915.69,7901.23,9048.67,8902.67,10509.34,10542.86,10675.53
NOBOL,,,,,76.52,81.13,132.41,198.72,87.74,149.34,176.67,157.47
PALESTINA,,,,,3.95,11.72,6.64,36.59,78.53,139.19,348.14,468.71
PEDRO CARBO,34.32,264.08,373.22,430.58,646.80,695.17,785.31,570.32,623.54,781.93,874.16,1149.90
PLAYAS,759.33,1540.93,1683.69,1649.07,1821.52,2132.36,2276.66,3035.31,4945.61,3637.04,3836.03,4481.69
SALITRE (URBINA JADO),2.74,15.68,137.46,213.85,329.92,392.29,420.02,533.10,332.44,614.95,771.28,998.15
SAMBORONDON,664.30,1971.35,2798.10,3362.95,4497.09,5133.18,5990.41,5834.48,5283.96,6860.80,6213.87,6594.30
SAN JACINTO DE YAGUACHI,0.00,0.00,0.00,0.00,13.20,215.58,77.49,366.11,913.06,364.28,453.12,666.87
SANTA LUCIA,,,,,,,77.45,29.80,13.40,61.15,108.08,233.83
SIMON BOLIVAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.06,100.81,117.38,194.69,177.30
ISIDRO AYORA,,,,,,,,,,1.95,5.40,8.51
